fecha,sku,producto,canal,precio_venta,unidades_vendidas,ventas_mxn,descuento_pct,inversion_marketing,distribucion_pct,precio_competidor,festivo
11/03/24,LUM-CHO-100,Chocolate Clasico,Supermercado,42.34,443,18755.05,0,3582.16,0.845,41.66,0
18/03/24,LUM-CHO-100,Chocolate Clasico,Supermercado,41.26,447,18445.25,0,2993.14,0.854,43.31,0
25/03/24,LUM-CHO-100,Chocolate Clasico,Supermercado,41.03,486,19939.37,0,2944.54,0.832,43.68,0
01/04/24,LUM-CHO-100,Chocolate Clasico,Supermercado,42.05,486,20438.34,0,2071.5,0.858,43.47,0
08/04/24,LUM-CHO-100,Chocolate Clasico,Supermercado,42.07,509,21415.86,0,2400.62,0.859,43.58,0
15/04/24,LUM-CHO-100,Chocolate Clasico,Supermercado,41.13,475,19538.42,0,849.79,0.81,41.8,0
22/04/24,LUM-CHO-100,Chocolate Clasico,Supermercado,41.7,553,23062.72,0,3595.76,0.875,43.27,0
29/04/24,LUM-CHO-100,Chocolate Clasico,Supermercado,41.83,456,19074.85,0,1489.6,0.834,42.2,0
06/05/24,LUM-CHO-100,Chocolate Clasico,Supermercado,42.07,481,20235.05,0,2894.62,0.815,42.22,0
13/05/24,LUM-CHO-100,Chocolate Clasico,Supermercado,41.76,537,22423.06,0,2146.25,0.874,42.65,1
20/05/24,LUM-CHO-100,Chocolate Clasico,Supermercado,41.58,532,22121.2,0,2846.5,0.847,43.77,0
27/05/24,LUM-CHO-100,Chocolate Clasico,Supermercado,41.69,516,21509.65,0,2351.38,0.88,44.98,0
03/06/24,LUM-CHO-100,Chocolate Clasico,Supermercado,41.76,536,22381.3,0,4157.74,0.903,43.53,0
10/06/24,LUM-CHO-100,Chocolate Clasico,Supermercado,42.16,461,19435.71,0,2580.6,0.863,44.31,0
17/06/24,LUM-CHO-100,Chocolate Clasico,Supermercado,41.27,530,21872.28,0,2255.99,0.828,42.5,0
24/06/24,LUM-CHO-100,Chocolate Clasico,Supermercado,42.17,485,20452.37,0,2294.69,0.866,43.44,0
01/07/24,LUM-CHO-100,Chocolate Clasico,Supermercado,42.01,563,23649.97,0,1743.55,0.885,43.7,0
08/07/24,LUM-CHO-100,Chocolate Clasico,Supermercado,41.87,470,19681.06,0,3035.58,0.861,43.47,0
15/07/24,LUM-CHO-100,Chocolate Clasico,Supermercado,41.54,471,19565.03,0,3099.19,0.839,44.78,0
22/07/24,LUM-CHO-100,Chocolate Clasico,Supermercado,41.7,451,18808.63,0,3301.66,0.853,40.7,0
29/07/24,LUM-CHO-100,Chocolate Clasico,Supermercado,41.13,435,17893.41,0,3271.39,0.896,41.74,0
05/08/24,LUM-CHO-100,Chocolate Clasico,Supermercado,40.81,503,20526.76,0,2926.16,0.924,41.64,0
12/08/24,LUM-CHO-100,Chocolate Clasico,Supermercado,41.28,454,18740.22,0,2535.42,0.866,44.07,0
19/08/24,LUM-CHO-100,Chocolate Clasico,Supermercado,35.72,737,26325.61,0.15,4472.39,0.906,42.4,0
26/08/24,LUM-CHO-100,Chocolate Clasico,Supermercado,41.74,437,18238.64,0,3691.28,0.855,43.6,0
02/09/24,LUM-CHO-100,Chocolate Clasico,Supermercado,31.74,703,22314.93,0.25,4863.58,0.843,44.69,0
09/09/24,LUM-CHO-100,Chocolate Clasico,Supermercado,42.01,372,15628.9,0,804.3,0.897,42.54,0
16/09/24,LUM-CHO-100,Chocolate Clasico,Supermercado,41.52,422,17523.01,0,2409.97,0.865,42.95,0
23/09/24,LUM-CHO-100,Chocolate Clasico,Supermercado,41.46,439,18202.15,0,2888.78,0.887,43.93,0
30/09/24,LUM-CHO-100,Chocolate Clasico,Supermercado,42.48,372,15802.76,0,2034.85,0.863,42.64,0
07/10/24,LUM-CHO-100,Chocolate Clasico,Supermercado,41.5,453,18800.76,0,2638.36,0.88,42.05,0
14/10/24,LUM-CHO-100,Chocolate Clasico,Supermercado,33.64,737,24791.06,0.2,5340.98,0.887,41.6,0
21/10/24,LUM-CHO-100,Chocolate Clasico,Supermercado,41.89,459,19226.42,0,1508.88,0.879,45.52,0
28/10/24,LUM-CHO-100,Chocolate Clasico,Supermercado,41.72,374,15601.62,0,1732.74,0.815,42.96,0
04/11/24,LUM-CHO-100,Chocolate Clasico,Supermercado,42.04,467,19632.16,0,1971.9,0.847,44.07,0
11/11/24,LUM-CHO-100,Chocolate Clasico,Supermercado,31.04,884,27442.39,0.25,3961.18,0.923,,0
18/11/24,LUM-CHO-100,Chocolate Clasico,Supermercado,41.63,507,21104.34,0,1268.78,0.884,44.04,1
25/11/24,LUM-CHO-100,Chocolate Clasico,Supermercado,42.23,472,19930.75,0,3005.85,0.863,45.04,0
02/12/24,LUM-CHO-100,Chocolate Clasico,Supermercado,35.05,797,27935.56,0.15,4132.2,,43.53,1
09/12/24,LUM-CHO-100,Chocolate Clasico,Supermercado,41.37,549,22712.73,0,2139.52,0.887,45.13,1
16/12/24,LUM-CHO-100,Chocolate Clasico,Supermercado,41.81,546,22828.66,0,2953.35,0.867,42.7,1
23/12/24,LUM-CHO-100,Chocolate Clasico,Supermercado,38.03,710,27001.37,0.1,6408.2,0.823,47.72,1
30/12/24,LUM-CHO-100,Chocolate Clasico,Supermercado,41.15,604,24856,0,2457.56,0.877,41.19,1
06/01/25,LUM-CHO-100,Chocolate Clasico,Supermercado,43.86,495,21712.82,0,4139.51,0.902,45.88,0
13/01/25,LUM-CHO-100,Chocolate Clasico,Supermercado,43.63,521,22731.95,0,2723.29,0.843,44.78,0
20/01/25,LUM-CHO-100,Chocolate Clasico,Supermercado,43.62,451,19672.68,0,3040.44,0.859,45.85,0
27/01/25,LUM-CHO-100,Chocolate Clasico,Supermercado,43.74,447,19553.12,0,1331.03,0.88,45.47,0
03/02/25,LUM-CHO-100,Chocolate Clasico,Supermercado,43.56,443,19297.69,0,1388.26,0.846,46.04,0
10/02/25,LUM-CHO-100,Chocolate Clasico,Supermercado,42.78,526,22504.78,0,2064.59,0.897,42.52,0
17/02/25,LUM-CHO-100,Chocolate Clasico,Supermercado,43.8,491,21507.31,0,2915.14,0.901,46.15,0
24/02/25,LUM-CHO-100,Chocolate Clasico,Supermercado,43.97,485,21323.71,0,2209.01,0.923,45.06,0
03/03/25,LUM-CHO-100,Chocolate Clasico,Supermercado,37.36,780,29143.72,0.15,5435.56,0.882,45.34,0
10/03/25,LUM-CHO-100,Chocolate Clasico,Supermercado,34.32,761,26113.94,0.2,3459.73,0.874,43.16,0
17/03/25,LUM-CHO-100,Chocolate Clasico,Supermercado,43.61,512,22328.69,0,1826.89,0.889,45.27,0
24/03/25,LUM-CHO-100,Chocolate Clasico,Supermercado,43.34,498,21583.3,0,2433.85,0.91,46.06,0
31/03/25,LUM-CHO-100,Chocolate Clasico,Supermercado,43.93,436,19151.82,0,2441.98,0.897,43.81,0
07/04/25,LUM-CHO-100,Chocolate Clasico,Supermercado,43.92,404,17743.94,0,2527.87,0.872,47.41,0
14/04/25,LUM-CHO-100,Chocolate Clasico,Supermercado,43.16,481,20759,0,2811.94,0.936,46.04,0
21/04/25,LUM-CHO-100,Chocolate Clasico,Supermercado,43.29,511,22121.08,0,3011.55,0.901,44.74,0
28/04/25,LUM-CHO-100,Chocolate Clasico,Supermercado,43.74,528,23092.74,0,1385.1,0.921,42.05,0
05/05/25,LUM-CHO-100,Chocolate Clasico,Supermercado,44.1,523,23062.23,0,2674.28,0.856,47.3,0
12/05/25,LUM-CHO-100,Chocolate Clasico,Supermercado,43.86,525,23027.25,0,2608.59,0.881,45.16,1
19/05/25,LUM-CHO-100,Chocolate Clasico,Supermercado,44.4,523,23219.6,0,,0.932,47.5,0
26/05/25,LUM-CHO-100,Chocolate Clasico,Supermercado,35.07,778,27283.31,0.2,5677.68,0.924,46.11,0
02/06/25,LUM-CHO-100,Chocolate Clasico,Supermercado,37.15,814,30243.1,0.15,6461.36,0.874,48.1,0
09/06/25,LUM-CHO-100,Chocolate Clasico,Supermercado,43.77,511,22366.56,0,2752.1,0.907,43.85,0
16/06/25,LUM-CHO-100,Chocolate Clasico,Supermercado,43.7,522,22812.5,0,2540.2,0.907,48.2,0
23/06/25,LUM-CHO-100,Chocolate Clasico,Supermercado,43.68,486,21230.91,0,2447.81,0.91,43.78,0
30/06/25,LUM-CHO-100,Chocolate Clasico,Supermercado,43.42,495,21493.04,0,2893.45,0.923,42.44,0
07/07/25,LUM-CHO-100,Chocolate Clasico,Supermercado,44.03,457,20121.23,0,2629.18,0.937,44.49,0
14/07/25,LUM-CHO-100,Chocolate Clasico,Supermercado,43.8,457,20017.25,0,3424.98,0.944,45.35,0
21/07/25,LUM-CHO-100,Chocolate Clasico,Supermercado,43.57,448,19519.13,0,2166.58,0.908,45.7,0
28/07/25,LUM-CHO-100,Chocolate Clasico,Supermercado,43.46,426,18514.61,0,2783.08,0.904,45.62,0
04/08/25,LUM-CHO-100,Chocolate Clasico,Supermercado,43.51,430,18710.52,0,1012.51,0.886,42.42,0
11/08/25,LUM-CHO-100,Chocolate Clasico,Supermercado,43.69,492,21496.37,0,595.37,0.946,46.04,0
18/08/25,LUM-CHO-100,Chocolate Clasico,Supermercado,43.29,471,20388.13,0,1929.24,0.898,44.52,0
25/08/25,LUM-CHO-100,Chocolate Clasico,Supermercado,39.89,599,23894.57,0.1,6515.27,0.919,45.95,0
01/09/25,LUM-CHO-100,Chocolate Clasico,Supermercado,43.81,426,18662.51,0,2069.55,0.94,47.05,0
08/09/25,LUM-CHO-100,Chocolate Clasico,Supermercado,43.51,441,19187.85,0,2808.93,0.921,45.27,0
15/09/25,LUM-CHO-100,Chocolate Clasico,Supermercado,43.83,426,18671.37,0,1863.49,0.938,43.37,0
22/09/25,LUM-CHO-100,Chocolate Clasico,Supermercado,43.71,412,18008.66,0,1593.37,0.943,44.84,0
29/09/25,LUM-CHO-100,Chocolate Clasico,Supermercado,32.75,712,23316.96,0.25,5743.21,0.898,45.51,0
06/10/25,LUM-CHO-100,Chocolate Clasico,Supermercado,43,439,18875.5,0,2522.43,0.918,44.67,0
13/10/25,LUM-CHO-100,Chocolate Clasico,Supermercado,44.01,445,19585.41,0,1780.01,0.896,46.22,0
20/10/25,LUM-CHO-100,Chocolate Clasico,Supermercado,32.65,830,27097.59,0.25,4781.7,0.905,44.65,0
27/10/25,LUM-CHO-100,Chocolate Clasico,Supermercado,43.57,391,17036.68,0,1953.26,0.91,46.05,0
03/11/25,LUM-CHO-100,Chocolate Clasico,Supermercado,43.82,521,22828.75,0,3791.21,0.924,44.62,0
10/11/25,LUM-CHO-100,Chocolate Clasico,Supermercado,32.7,906,29627.71,0.25,4392.82,0.931,44.2,0
17/11/25,LUM-CHO-100,Chocolate Clasico,Supermercado,32.91,1199,39454.73,0.25,6277.23,0.959,46.44,1
24/11/25,LUM-CHO-100,Chocolate Clasico,Supermercado,34.42,804,27672.88,0.2,5289.42,0.909,43.88,0
01/12/25,LUM-CHO-100,Chocolate Clasico,Supermercado,44.34,561,24874.02,0,2425.8,0.942,46.23,1
08/12/25,LUM-CHO-100,Chocolate Clasico,Supermercado,43.84,550,24110.72,0,2832.22,0.97,46.5,1
15/12/25,LUM-CHO-100,Chocolate Clasico,Supermercado,37.1,968,35915.46,0.15,5864.8,0.939,46.15,1
22/12/25,LUM-CHO-100,Chocolate Clasico,Supermercado,43.78,433,18957.66,0,402.05,0.943,46.12,1
29/12/25,LUM-CHO-100,Chocolate Clasico,Supermercado,38.77,877,34002.05,0.1,4328.18,0.948,43.73,1
